  PERMNO        date             PRC           ASKHI           BIDLO            RET        vwretd        ewretd        sprtrn
   12490    19680131       594.50000       623.00000       588.75000      -0.051834     -0.036330      0.023902     -0.043848
   12490    19680229       580.00000       599.50000       571.00000      -0.022204     -0.033624     -0.056118     -0.031223
   12490    19680329       612.50000       612.50000       562.00000       0.056034      0.005116     -0.011218      0.009400
   12490    19680430       677.50000       677.50000       630.00000       0.106122      0.094148      0.143031      0.081929
   12490    19680531       357.00000       696.00000       329.50000       0.055793      0.027041      0.091309      0.011169
   12490    19680628       353.75000       375.00000       346.50000      -0.009104      0.011527      0.016225      0.009120
   12490    19680730       338.75000       365.00000       331.50000      -0.042403     -0.022024     -0.026210     -0.018478
   12490    19680830       335.00000       345.00000       335.00000      -0.009151      0.018038      0.035918      0.011459
   12490    19680930       335.00000       340.50000       331.00000       0.000000      0.044454      0.068808      0.038539
   12490    19681031       307.00000       331.00000       307.00000      -0.081642      0.009041      0.006913      0.007208
   12490    19681129       333.75000       334.50000       309.00000       0.087134      0.058502      0.071994      0.047964
   12490    19681231       315.00000       330.00000       313.50000      -0.056180     -0.033873      0.005896     -0.041617
   12490    19690131       296.25000       313.75000       296.25000      -0.059524     -0.006711     -0.001688     -0.008184
   12490    19690228       293.37500       310.25000       293.37500      -0.007004     -0.053640     -0.085728     -0.047374
   12490    19690328       314.00000       314.00000       294.75000       0.070303      0.030506      0.020290      0.034444
   12490    19690430       328.00000       328.00000       306.50000       0.044586      0.020526      0.003459      0.021476
   12490    19690529       319.00000       334.00000       319.00000      -0.025000      0.005040      0.006262     -0.002218
   12490    19690630       337.75000       337.75000       308.00000       0.058777     -0.067387     -0.113404     -0.055577
   12490    19690731       324.50000       351.25000       313.00000      -0.039230     -0.065172     -0.095823     -0.060178
   12490    19690829       345.00000       350.25000       326.75000       0.066256      0.051490      0.052175      0.040074
   12490    19690930       345.25000       358.50000       335.25000       0.000725     -0.022590     -0.024618     -0.025024
   12490    19691031       360.50000       364.00000       341.50000       0.044171      0.055638      0.092413      0.044244
   12490    19691128       357.00000       367.75000       345.75000      -0.006935     -0.032164     -0.055078     -0.035274
   12490    19691231       364.50000       366.50000       351.50000       0.021008     -0.019681     -0.066178     -0.018655
   12490    19700130       335.25000       381.50000       335.25000      -0.080247     -0.073254     -0.038830     -0.076472
   12490    19700227       340.25000       355.00000       338.50000       0.018494      0.056706      0.040195      0.052693
   12490    19700331       338.50000       338.50000       316.75000      -0.005143     -0.004729     -0.023712      0.001453
   12490    19700430       298.00000       337.75000       290.25000      -0.119645     -0.105318     -0.161963     -0.090483
   12490    19700529       278.00000       296.75000       241.00000      -0.063087     -0.064346     -0.090524     -0.060967
   12490    19700630       250.00000       287.00000       250.00000      -0.100719     -0.051075     -0.073904     -0.050033
