000002.SZ.Open,000002.SZ.High,000002.SZ.Low,000002.SZ.Close,000002.SZ.Volume,000002.SZ.Adjusted
10.12,10.12,10.12,10.12,0,8.158302
10.12,10.12,10.12,10.12,0,8.158302
10.12,10.12,10.12,10.12,0,8.158302
10.12,10.12,10.12,10.12,0,8.158302
10.12,10.12,10.12,10.12,0,8.158302
10.12,10.12,10.12,10.12,0,8.158302
10.12,10.12,10.12,10.12,0,8.158302
10.12,10.12,10.12,10.12,0,8.158302
10.12,10.12,10.12,10.12,0,8.158302
10.12,10.12,10.12,10.12,0,8.158302
10.12,10.12,10.12,10.12,0,8.158302
11.13,11.13,11.13,11.13,23430893,8.972522
11.69,12.18,11.57,11.76,464332645,9.480401
11.8,11.83,11.5,11.69,129945195,9.423969
11.61,12.22,11.57,11.95,219041827,9.633571
11.98,12.02,11.57,11.7,86321707,9.432031
11.65,12.17,11.64,12.06,138997964,9.722248
12.09,12.65,12.06,12.21,135988614,9.843171
12.17,12.75,12.15,12.67,127081229,10.214004
12.6,12.64,11.95,12.01,151307795,9.68194
12.05,12.15,11.63,11.96,168332416,9.641632
11.83,12.1,11.51,11.9,146699792,9.593262
11.91,12.52,11.8,12.33,169459019,9.93991
12.3,12.31,11.99,12.16,74930071,9.802862
12.07,12.1,11.79,11.88,77307246,9.57714
11.8,12.19,11.78,12.03,79113930,9.698063
12.13,12.22,11.61,11.7,78311007,9.432031
11.73,11.74,11.16,11.2,118304951,9.028954
11.18,11.46,11.14,11.44,84089374,9.22243
11.4,11.69,11.03,11.31,146114229,9.117631
11.28,11.45,11.18,11.32,61330999,9.125692
11.33,11.45,10.85,11.01,82375532,8.875782
10.9,11.17,10.73,10.82,77476142,8.722614
10.82,11.4,10.82,11.32,87903095,9.125692
11.52,12.09,11.52,12,154546514,9.673879
12.01,12.18,11.78,12.04,87506614,9.706125
11.04,11.25,10.84,10.84,311545544,8.738736
10.83,11.05,10.5,10.89,218277525,8.779045
10.94,11.27,10.94,11.15,145417479,8.988646
11.09,11.43,10.89,11.21,114670135,9.037015
11.22,11.3,10.95,10.96,70600023,8.835476
10.9,11.26,10.8,11.11,66667092,8.956399
11.05,11.45,11.04,11.22,97831067,9.045077
11.2,11.2,10.87,10.95,64584652,8.827414
10.82,11.01,10.64,10.8,70496318,8.706491
10.75,10.98,10.33,10.48,104999733,8.44852
10.43,10.8,10.43,10.69,62920981,8.617812
10.71,11.03,10.61,10.95,70996709,8.827414
10.96,11.42,10.91,11.22,104552810,9.045077
11.23,11.3,10.84,11.01,80610377,8.875782
11,11.08,10.82,11,68408212,8.867723
11.05,11.25,10.91,11.14,59536498,8.980584
11.17,11.57,11.11,11.12,97241213,8.96446
11.09,11.43,11.09,11.25,60769798,9.069262
11.05,11.07,10.5,10.96,105144156,8.835476
10.94,10.98,10.71,10.76,41894995,8.674245
10.83,11.25,10.83,11,67843859,8.867723
11.07,11.45,11,11.2,90543003,9.028954
11.23,11.43,11.01,11.2,53910464,9.028954
10.88,11.07,10.6,10.98,66456864,8.851598
10.98,11.25,10.93,10.99,65685830,8.859661
11.03,11.2,10.94,11.04,60813232,8.899967
11.19,11.35,10.99,11,51563841,8.867723
10.94,11.07,10.89,10.92,37744202,8.803229
10.98,11.19,10.75,11.03,65294367,8.891907
10.93,11.66,10.9,11.64,142495345,9.383662
11.63,11.89,11.42,11.65,87720144,9.391724
11.56,11.93,11.52,11.7,65582888,9.432031
11.74,11.93,11.59,11.91,86913542,9.601324
11.94,12,11.41,11.69,96935830,9.423969
11.58,11.58,10.98,11.28,100475436,9.093447
11.28,11.44,11.04,11.3,100774305,9.109568
